Strain,Subspecies,Host_cn,Host_sn,Location1,Location2,Mean,SE,Sequences
GIL BEC 625,subsp.fastidiosa,Grapes,Vitis vinifera,TX,"USA, Texas, Stonewall, Gillespie",3.37E-02,1.75E-02,N
IAS-AXF235T1,subsp.multiplex,Almonds,Prunus dulcis,Spain,Spain,0.00E+00,0.00E+00,N
King 3,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Kingsburg, Fresno",1.03E-02,2.78E-03,N
L95-2,subsp.multiplex,lupinus,Lupinus villosus,FL,"USA, Florida, Levy",0.00E+00,0.00E+00,N
PierceMed1,subsp.fastidiosa,Blueberry,Vaccinium spp.,GA,"USA, Georgia, Pierce, Stevie Yong Farm",7.51E-03,1.16E-03,N
PD 92-8,subsp.fastidiosa,Grapes,Vitis sp.,FL,"USA, Florida, Lake, Leesburg",5.81E-07,2.79E-07,N
PD 95-1,subsp.fastidiosa,Grapes,Vitis sp.,FL,"USA, Florida, Osceola, St. Cloud",1.85E-02,1.55E-02,N
Ts Mer 1,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Lumpking, Dahlonega",3.23E-02,2.49E-02,N
TS Vid 1,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Lumpking, Dahlonega",1.24E-02,3.82E-03,N
Chard1,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California",5.09E-04,1.68E-04,N
Fetzer,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Napa",1.19E-04,2.85E-05,N
